State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
CA,2008,42,CA-42,H8CA42202,"Chau, Edwin ""Ed""",104909,0.3984,0,Democrat,0,0,1,1,263313,672604.62,347355.42,2
MS,2010,1,MS-1,H8MS01061,"Childers, Travis W.",89388,0.4080,0,Democrat,0,1,0,1,219093,3528605.14,1846375.69,5
HI,2006,1,HI-1,H0HI01058,"Abercrombie, Neil ",112904,0.6935,1,Democrat,0,1,0,0,162794,505852.42,236936.04,2
MS,2008,1,MS-1,H8MS01061,"Childers, Travis W. #",185959,0.5447,1,Democrat,0,0,1,1,341389,3337218.68,1822312.30,3
RI,2010,2,RI-2,H0RI01073,"Cicilline, David",5,0.0000,0,Other,4,0,0,0,174464,3595619.43,2015847.44,5
NY,2008,11,NY-11,H4NY11138,"Clarke, Yvette D.",158235,0.8707,1,Democrat,0,1,1,1,181740,547492.21,547492.21,1
NY,2010,11,NY-11,H4NY11138,"Clarke, Yvette D.",89973,0.7810,1,Democrat,0,1,0,1,115199,714585.11,714585.11,1
NY,2014,9,NY-9,H4NY11138,"Clarke, Yvette D.",70997,0.7670,1,Democrat,0,1,0,1,92569,534975.70,534975.70,1
NY,2016,9,NY-9,H4NY11138,"Clarke, Yvette D.",198886,0.8569,1,Democrat,0,1,1,1,232094,719156.42,719156.42,1
CO,2016,6,CO-6,H8CO06138,"Coffman, Mike",191626,0.5091,1,Republican,1,1,1,0,376417,6706932.51,3574756.56,2
GA,2006,8,GA-8,H2GA03070,"Collins, Mac ",78908,0.4945,0,Republican,1,0,0,1,159568,3831093.39,1981933.29,2
IA,2004,1,IA-1,H0IA02040,"Nussle, Jim",159993,0.5516,1,Republican,1,1,1,1,290054,2152650.51,1622747.40,3
VA,2014,10,VA-10,H4VA10089,"Comstock, Barbara J.",125914,0.5649,1,Republican,1,0,0,0,222910,6453823.98,3403549.82,3
ND,2012,0,ND-0,H0ND01026,"Cramer, Kevin",173433,0.5487,1,Republican,1,0,1,0,316071,2310929.74,1291733.07,2
IL,2004,8,IL-8,H6IL12016,"Crane, Philip ",130601,0.4830,0,Republican,1,1,1,1,270393,3204913.71,1618078.72,2
ID,2004,1,ID-1,H0ID01139,"Otter, C.L. ""Butch""",207662,0.6955,1,Republican,1,1,1,1,298589,527654.05,512502.05,2
ID,2010,1,ID-1,H0ID01253,"Labrador, Raul R.",126231,0.5102,1,Republican,1,0,0,0,247427,3305833.11,771292.68,3
ID,2016,1,ID-1,H0ID01253,"Labrador, Raul R.",242252,0.6817,1,Republican,1,1,1,0,355357,1198002.57,877578.38,2
ID,2012,1,ID-1,H0ID01253,"Labrador, Raul R.",199402,0.6296,1,Republican,1,1,1,0,316724,702622.80,619719.06,2
ID,2014,1,ID-1,H0ID01253,"Labrador, Raul R.",143580,0.6501,1,Republican,1,1,0,0,220864,650154.44,425010.50,2
PA,2012,12,PA-12,H0PA12132,"Critz, Mark S.",163589,0.4826,0,Democrat,0,1,1,1,338941,4724713.77,2709384.24,2
PA,2010,12,PA-12,H0PA12132,"Critz, Mark S. #",94056,0.5078,1,Democrat,0,1,0,1,185226,4830524.95,2468377.66,2
NY,2012,14,NY-14,H8NY07046,"Crowley, Joseph",116117,0.7998,1,Democrat,0,1,1,1,145190,2722991.15,2722991.15,1
NY,2008,7,NY-7,H8NY07046,"Crowley, Joseph",113988,0.8145,1,Democrat,0,1,1,1,139941,1729736.50,1729736.50,1
IL,2010,5,IL-5,H0IL05096,"Quigley, Mike",108360,0.7062,1,Democrat,0,1,0,1,153435,1152676.30,1087120.55,2
IL,2016,5,IL-5,H0IL05096,"Quigley, Mike",212842,0.6784,1,Democrat,0,1,1,1,313724,835900.64,829547.64,2
IL,2014,5,IL-5,H0IL05096,"Quigley, Mike",116364,0.6323,1,Democrat,0,1,0,1,184019,1143913.29,779868.08,3
